episode,reward,avg_latency_us,deadline_misses,deadline_miss_rate,epsilon
194,4.3181,6058.46,2,0.2,0.3782
195,11.0903,4183.18,1,0.1,0.3763
196,0.728,4615.78,3,0.3,0.3744
197,0.1275,5198.96,3,0.3,0.3725
198,5.2419,5095.1,2,0.2,0.3707
199,4.4804,5909.72,2,0.2,0.3688
200,9.8319,5557.2,1,0.1,0.367
201,0.3057,5045.18,3,0.3,0.3651
202,-0.8922,6297.06,3,0.3,0.3633
203,-1.1351,6567.36,3,0.3,0.3615
204,5.2289,5158.94,2,0.2,0.3597
205,-5.2952,5647.9,4,0.4,0.3579
206,0.3259,5010.14,3,0.3,0.3561
207,9.3099,6099.76,1,0.1,0.3543
208,4.3339,6062.52,2,0.2,0.3525
209,-0.3675,5751.94,3,0.3,0.3508
210,-0.0778,5473.82,3,0.3,0.349
211,-0.3426,5711.86,3,0.3,0.3473
212,4.8812,5530.66,2,0.2,0.3455
213,5.2923,5059.52,2,0.2,0.3438
214,10.4192,4920.14,1,0.1,0.3421
215,4.8082,5583.06,2,0.2,0.3404
216,8.34,7107.44,1,0.1,0.3387
217,-5.7004,6115.32,4,0.4,0.337
218,5.0055,5378.86,2,0.2,0.3353
219,-6.3195,6747.3,4,0.4,0.3336
220,-16.0925,6479.54,6,0.6,0.332
221,-1.0955,6541.7,3,0.3,0.3303
222,10.9241,4383.32,1,0.1,0.3286
223,-0.3071,5661.38,3,0.3,0.327
224,-5.3516,5741.02,4,0.4,0.3254
225,-0.9569,6360.94,3,0.3,0.3237
226,-5.3694,5768.3,4,0.4,0.3221
227,10.2212,5128.64,1,0.1,0.3205
228,-10.6182,6009.78,5,0.5,0.3189
229,10.3124,5020.16,1,0.1,0.3173
230,-5.1789,5550.7,4,0.4,0.3157
231,-4.5578,4903.44,4,0.4,0.3141
232,-10.8533,6248.08,5,0.5,0.3126
233,0.1123,5270.5,3,0.3,0.311
234,-5.2472,5631.9,4,0.4,0.3095
235,-0.1274,5482.4,3,0.3,0.3079
236,-5.5254,5902.68,4,0.4,0.3064
237,0.3393,5040.12,3,0.3,0.3048
238,-0.0025,5365.12,3,0.3,0.3033
239,9.5419,5857.3,1,0.1,0.3018
240,-5.3368,5727.16,4,0.4,0.3003
241,10.1411,5191.42,1,0.1,0.2988
242,4.0942,6324.86,2,0.2,0.2973
243,5.6934,4630.42,2,0.2,0.2958
244,-5.5383,5935.32,4,0.4,0.2943
245,-0.2534,5634.86,3,0.3,0.2929
246,4.4021,5966.14,2,0.2,0.2914
247,5.1805,5179.32,2,0.2,0.2899
248,9.8144,5551.4,1,0.1,0.2885
249,4.607,5792.46,2,0.2,0.287
250,10.6733,4660.34,1,0.1,0.2856
251,4.8871,5488.8,2,0.2,0.2842
252,-15.1611,5500.38,6,0.6,0.2828
253,-4.5992,4939.74,4,0.4,0.2813
254,4.3797,5993.42,2,0.2,0.2799
255,4.3587,6045.0,2,0.2,0.2785
256,5.5671,4782.54,2,0.2,0.2771
257,-0.3166,5677.18,3,0.3,0.2758
258,10.5091,4842.94,1,0.1,0.2744
259,-0.289,5657.84,3,0.3,0.273
260,-1.148,6567.74,3,0.3,0.2716
261,4.3244,6044.9,2,0.2,0.2703
262,5.0017,5348.42,2,0.2,0.2689
263,5.3295,5013.42,2,0.2,0.2676
264,0.209,5150.04,3,0.3,0.2663
265,15.6745,4679.14,0,0.0,0.2649
266,3.9086,6510.9,2,0.2,0.2636
267,5.35,4989.5,2,0.2,0.2623
268,-1.2283,6631.46,3,0.3,0.261
269,9.3607,6040.46,1,0.1,0.2597
270,4.7336,5652.1,2,0.2,0.2584
271,5.4661,4866.0,2,0.2,0.2571
272,-5.0059,5395.0,4,0.4,0.2558
273,-4.3815,4742.26,4,0.4,0.2545
274,-5.5864,5956.92,4,0.4,0.2532
275,-5.361,5737.64,4,0.4,0.252
276,9.9225,5471.38,1,0.1,0.2507
277,-0.8215,6185.54,3,0.3,0.2495
278,-5.5357,5907.0,4,0.4,0.2482
279,4.5189,5861.76,2,0.2,0.247
280,-6.235,6670.5,4,0.4,0.2457
281,5.0975,5233.52,2,0.2,0.2445
282,9.5359,5860.52,1,0.1,0.2433
283,-10.9055,6317.44,5,0.5,0.2421
284,-0.1746,5543.24,3,0.3,0.2409
285,-0.0836,5460.88,3,0.3,0.2397
286,1.0405,4279.1,3,0.3,0.2385
287,10.7529,4530.48,1,0.1,0.2373
288,9.0887,6326.64,1,0.1,0.2361
289,5.8026,4520.06,2,0.2,0.2349
290,-0.3011,5708.12,3,0.3,0.2337
291,4.4108,5995.32,2,0.2,0.2326
292,-5.3753,5757.88,4,0.4,0.2314
293,9.2274,6173.54,1,0.1,0.2302
294,9.3537,6054.3,1,0.1,0.2291
295,10.1424,5221.22,1,0.1,0.2279
296,-4.3502,4656.4,4,0.4,0.2268
297,5.5456,4771.76,2,0.2,0.2257
298,5.3271,5045.4,2,0.2,0.2245
299,-5.2189,5603.08,4,0.4,0.2234
300,15.04,5330.72,0,0.0,0.2223
